Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
135,Saturday Sep 3,boxscore,SFG,@,CHC,W,3,2,,73-62,2,2.0,Bumgarner,Arrieta,Casilla,3:13,D,41250,+
136,Sunday Sep 4,boxscore,SFG,@,CHC,L-wo,2,3,13,73-63,2,3.0,Cahill,Reynolds,,4:23,D,41293,-
137,Monday Sep 5,boxscore,SFG,@,COL,L,0,6,,73-64,2,4.0,Bettis,Moore,,2:24,D,26574,--
138,Tuesday Sep 6,boxscore,SFG,@,COL,W,3,2,,74-64,2,4.0,Lopez,Ottavino,Casilla,3:02,N,22437,+
139,Wednesday Sep 7,boxscore,SFG,@,COL,L-wo,5,6,,74-65,2,5.0,Lyles,Osich,,3:16,N,23961,-
140,Friday Sep 9,boxscore,SFG,@,ARI,W,7,6,12,75-65,2,4.0,Nathan,Leone,Gearrin,5:23,N,26492,+
141,Saturday Sep 10,boxscore,SFG,@,ARI,W,11,3,,76-65,2,4.0,Cueto,Bradley,,3:09,N,32301,++
142,Sunday Sep 11,boxscore,SFG,@,ARI,W,5,3,,77-65,2,3.0,Moore,Greinke,Strickland,3:19,D,26008,+++
143,Monday Sep 12,boxscore,SFG,,SDP,L,0,4,,77-66,2,4.0,Clemens,Samardzija,,2:54,N,41233,-
144,Tuesday Sep 13,boxscore,SFG,,SDP,L,4,6,,77-67,2,4.0,Smith,Strickland,Quackenbush,3:27,N,41231,--
145,Wednesday Sep 14,boxscore,SFG,,SDP,L,1,3,,77-68,2,5.0,Perdomo,Bumgarner,Maurer,2:51,D,41183,---
146,Thursday Sep 15,boxscore,SFG,,STL,W,6,2,,78-68,2,4.0,Cueto,Wainwright,,2:33,N,41210,+
147,Friday Sep 16,boxscore,SFG,,STL,W,8,2,,79-68,2,4.0,Moore,Weaver,,2:57,N,41278,++
148,Saturday Sep 17,boxscore,SFG,,STL,L,2,3,,79-69,2,5.0,Oh,Casilla,,2:53,N,41403,-
149,Sunday Sep 18,boxscore,SFG,,STL,L,0,3,,79-70,2,5.0,Reyes,Suarez,Oh,2:49,D,41324,--
150,Monday Sep 19,boxscore,SFG,@,LAD,L-wo,1,2,,79-71,2,6.0,Blanton,Lopez,,2:58,N,43435,---
151,Tuesday Sep 20,boxscore,SFG,@,LAD,W,2,0,,80-71,2,5.0,Cueto,Hill,Romo,3:36,N,53621,+
152,Wednesday Sep 21,boxscore,SFG,@,LAD,L,3,9,,80-72,2,6.0,Maeda,Moore,,3:03,N,45983,-
153,Thursday Sep 22,boxscore,SFG,@,SDP,W,2,1,,81-72,2,6.0,Samardzija,Friedrich,Romo,2:55,N,25789,+
154,Friday Sep 23,boxscore,SFG,@,SDP,L,2,7,,81-73,2,7.0,Jackson,Suarez,,2:54,N,28404,-
155,Saturday Sep 24,boxscore,SFG,@,SDP,W,9,6,10,82-73,2,7.0,Smith,Quackenbush,Romo,3:43,N,31171,+
156,Sunday Sep 25,boxscore,SFG,@,SDP,L,3,4,,82-74,2,8.0,Morrow,Gearrin,Hand,3:05,D,28456,-
157,Tuesday Sep 27,boxscore,SFG,,COL,W,12,3,,83-74,2,7.0,Moore,Marquez,,3:05,N,41582,+
158,Wednesday Sep 28,boxscore,SFG,,COL,L,0,2,,83-75,2,7.0,Chatwood,Samardzija,Ottavino,2:55,N,41426,-
159,Thursday Sep 29,boxscore,SFG,,COL,W,7,2,,84-75,2,7.0,Cueto,Gray,,3:15,N,41275,+
160,Friday Sep 30,boxscore,SFG,,LAD,W,9,3,,85-75,2,6.0,Bumgarner,McCarthy,,3:15,N,41359,++
161,Saturday Oct 1,boxscore,SFG,,LAD,W,3,0,,86-75,2,5.0,Blach,Kershaw,Romo,2:15,D,41320,+++
162,Sunday Oct 2,boxscore,SFG,,LAD,W,7,1,,87-75,2,4.0,Moore,Maeda,,3:04,D,41445,++++
